pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,91.1,2248,6.15,-2.73,210,-4.35280298399116,76.18554145716767,-0.36,1.29
FF,93.2,2297,6.07,-2.55,216,-4.887092023770223,64.01417744231736,-0.59,1.4
FF,93.5,2320,6.13,-2.43,212,-4.36784869835248,70.53785509404946,-0.47,1.28
FF,94.1,2314,6.15,-2.51,218,-5.009633665394016,60.798081551964415,-0.71,1.35
FF,93.3,2362,6.04,-2.91,223,-4.427793560339443,59.93361966316136,-0.7,1.46
FF,93.3,2253,6.06,-2.89,216,-3.5361314086735067,64.97010525440665,-0.62,1.33
FF,92.5,2232,6.09,-2.68,216,-3.0924542549851655,70.08309824635008,-0.5,1.31
FF,94.0,2269,6.1,-2.74,214,-4.1804454971385185,61.52976123603821,-0.69,1.36
FF,94.3,2203,6.11,-2.85,220,-2.5251716371516877,65.21910470975729,-0.62,1.19
FF,92.4,2442,6.12,-2.66,214,-3.575610990101089,74.93121282787592,-0.35,1.32
FF,93.4,2239,6.04,-2.84,219,-1.0854714712846831,61.4342950239302,-0.73,1.27
FF,93.2,2295,5.9,-2.52,219,-4.173537458118507,68.7170342395898,-0.43,1.54
FF,92.7,2289,5.9,-2.7,217,-3.9338930483523407,68.65533788541852,-0.57,1.17
FF,92.9,2266,6.04,-2.52,217,-3.8292967646759597,68.54063207300467,-0.53,1.27
FF,93.2,2218,6.04,-2.54,215,-3.8775539371437135,74.87298415818906,-0.37,1.21
FF,93.0,2143,6.05,-2.55,216,-2.7058828720295582,65.48386762959588,-0.62,1.26
FF,92.3,2035,6.01,-2.58,217,-2.9870684553078415,73.62726454982824,-0.44,1.15
FF,93.9,2315,6.05,-2.58,213,-3.8131424887678844,70.71707489345323,-0.39,1.45
FF,92.5,2304,6.1,-2.5,215,-5.29447582203858,66.25617123903469,-0.53,1.47
FF,93.7,2292,6.04,-2.46,216,-4.4465118168210696,66.96046319526413,-0.49,1.43
FF,92.4,2169,5.97,-2.84,214,-2.6916938804114663,75.61248345138426,-0.37,1.22
FF,90.9,2169,6.4,-2.39,208,-2.1011337357242277,75.89698158777135,-0.37,1.23
FF,92.6,2239,6.27,-2.91,212,-3.1230793025712646,67.56884827766554,-0.55,1.31
FF,93.6,2187,6.16,-2.62,216,-3.6873797793636838,77.99381627309015,-0.29,1.21
FF,93.2,2278,6.07,-3.02,219,-3.575886646059417,63.39040262504563,-0.66,1.33
FF,93.8,2262,6.11,-2.67,212,-2.374629426056661,71.58391961086005,-0.4,1.39
FF,93.0,2255,6.05,-2.54,212,-4.09498739031108,73.36246973290865,-0.37,1.37
FF,92.7,2274,6.07,-2.59,214,-3.976172294416871,69.27846113790629,-0.48,1.38
FF,92.1,2322,6.27,-2.74,218,-4.591986034581927,59.29792592171308,-0.81,1.34
FF,91.3,2255,6.19,-2.79,220,-3.6787343966740798,77.42833829958266,-0.33,1.24
FF,93.2,2331,6.17,-2.74,214,-4.666367696091313,60.75504998349165,-0.77,1.23
FF,93.3,2300,6.17,-2.83,215,-3.9438296504212413,71.82797148176371,-0.45,1.24
FF,92.4,2264,6.22,-2.69,216,-4.084934704781917,68.3722078100115,-0.58,1.2
FF,92.2,2010,6.39,-2.7,215,-4.078393407501376,68.06715558870435,-0.62,1.11
FF,92.0,2273,6.03,-2.87,216,-3.636542328473928,86.73876828349204,-0.09,1.03
FF,92.5,2185,6.08,-2.8,220,-3.9420914657682595,75.92896435008497,-0.37,1.18
FF,92.0,2168,6.18,-2.65,213,-4.03492311797338,69.76931138495482,-0.63,0.97
FF,91.4,2068,6.22,-2.75,221,-4.230893034085278,70.4215135834273,-0.58,1.1
