,release_speed,pitch_type,release_spin_rate,release_extension,vy0,vx0,vz0,ax,az,ay,yR,tR,vxR,vyR,vzR,tf,vxbar,vybar,vzbar,vbar,adrag,amagx,amagy,amagz,amag,Cl,s,spinT,spin_efficiency
85,92.8,FF,2518.0,6.3,-134.97626712575993,-3.968601555817136,-6.314330015155006,-4.135408729990693,-12.958915748837564,29.001555753155777,54.2,-0.031013250891166372,-3.840349087336415,-135.8756996505667,-5.912431909758819,0.4060648629250601,-4.679971176877799,-129.98744326980736,-8.543512083363384,130.35194335627057,30.0313803785946,-5.213612790129204,-0.9458485797983762,17.246770971448967,18.042380574716855,0.19725791529728398,0.14682607972115652,1510.4549961496386,0.5998629849680852
86,93.2,FF,2393.0,6.4,-135.4099251913098,-3.976655428588015,-9.140125390521908,-3.194184084230845,-11.275250828018672,29.490148281664386,54.1,-0.030179252871634362,-3.8802573393914623,-136.29991583352415,-8.799846744592028,0.4041993790656169,-4.525800951125154,-130.3399660215233,-11.078571436339143,130.88821322720824,31.025077576833556,-4.266956965332232,-1.4049755608468075,18.272740841832732,18.816852445171484,0.20404291590963863,0.15514931218741093,1602.6455068951516,0.6697223179670504
87,91.3,FF,2496.0,6.3,-132.57633986656373,-5.054108553306457,-8.65357420745641,3.799088368686413,-9.193660022808965,30.60295050938477,54.2,-0.0315648668519501,-5.174026271822836,-133.54231792466928,-8.363377552954349,0.4149881495969232,-4.385737945684651,-127.19238702262138,-10.271007533398699,127.68175911065626,32.46474206761765,2.683957654835429,-1.7373623623649337,20.368803194890255,20.618200703826787,0.2349463314388024,0.19944226245125393,2009.7087628391748,0.8051717799836438
88,92.4,FF,2551.0,6.5,-134.32007279734563,-0.2320891071877792,-7.702120101953144,-2.387064196203386,-10.632071996733098,30.91650141156197,54.0,-0.029678247745534063,-0.161245224588361,-135.23762038566312,-7.386578835185744,0.40783385663740546,-0.6480080231777086,-128.93322238345655,-9.554638298422853,129.28838641422382,32.41159365977865,-2.5495147713712236,-1.406055385996769,19.146654439387305,19.3667600165655,0.21523533007838833,0.1698623858727807,1733.1805700724462,0.6794122187661491
89,91.7,FF,2425.0,6.5,-133.33914600230892,-4.260428535470315,-7.392169449091928,0.9544927751578248,-11.741206815518142,28.70790039807424,54.0,-0.029902436404541842,-4.2889701949780665,-134.19758216827026,-7.0410787589783235,0.4097976290366238,-4.093395756881935,-128.31536740939507,-9.446838116492316,128.72774430024677,30.145771716759192,-0.004108454935173644,-1.34129990993031,18.220509990575145,18.269813536115514,0.20481672464011352,0.15612561715099932,1586.1103674613664,0.6540661309119037
90,92.6,FF,2551.0,6.3,-134.7264481982714,-4.246979775474377,-6.229767755968735,-0.4549177631639226,-10.549240916486148,29.19994438914616,54.2,-0.031069670036110192,-4.232845630679308,-135.63368083551495,-5.902006321562078,0.4069910789679657,-4.325419366315197,-129.69162239914334,-8.048729793008933,130.01310789492476,30.451331857954337,-1.4680062330967938,-1.1760899724398044,19.739606532895632,19.829026602363022,0.21792283275215008,0.17359828305840785,1781.2285279616194,0.6982471689383063
91,92.2,FF,2541.0,6.4,-134.07920064959796,-4.012483204874377,-6.991979496982093,-2.4237722473285253,-10.49323736531064,29.38505085983595,54.1,-0.030477156220763885,-3.9386135194489933,-134.97477343520828,-6.672175462537965,0.40848302986572355,-4.4336484350955985,-128.9731261312162,-8.81533015857912,129.35004657250565,30.69391084738048,-3.475847707689267,-1.2194192588548134,19.58894307105292,19.932265080940173,0.22130901009405407,0.17842836895162478,1821.4513314394621,0.7168246089883755
92,91.0,FF,2415.0,6.4,-132.3238517005124,-2.316467399494835,-8.02216141115448,1.8728314636538792,-11.121742738825484,28.99567666427692,54.1,-0.03088011028436584,-2.374300641636497,-133.21924139367508,-7.678720768825204,0.41412736976731795,-1.9865052576062685,-127.21528973787477,-9.981629802654485,127.62174219053415,30.579034332612544,1.3968513412107382,-1.4859689061144472,18.660591114076272,18.77170631525338,0.21410658930582357,0.1683180538713449,1695.283935435142,0.7019809256460215
93,92.1,FF,2535.0,6.4,-133.8450395025871,-3.392387706903565,-9.481321605804784,2.688292096049514,-9.800010563762603,30.12343848321821,54.1,-0.030527567635221416,-3.4744547256889473,-134.76463480828897,-9.182151120493636,0.4096872052863665,-2.9237752877769703,-128.59404114538626,-11.189620590316022,129.1130647494278,32.002269566215816,1.9635982388316795,-1.750184665069252,19.600503614566826,19.77621314483725,0.2203831438920465,0.17709368044517265,1804.5143099461295,0.7118399644757908
94,93.1,FF,2580.0,6.4,-135.37908505877726,-3.140974779008244,-8.360498823246472,-0.4186564502479661,-10.534384404893984,29.53160540716016,54.1,-0.030185944366448014,-3.128337238692404,-136.2705244566497,-8.042508481665564,0.4043221675899628,-3.212973280412293,-130.30038310133247,-10.172151050071882,130.73632123721447,31.10654916839841,-1.1831303958055364,-1.4712194791882105,19.219320195992655,19.31182417809133,0.2098970807358472,0.16268211930050372,1678.507005920625,0.6505841108219477
